make,model,city,price,year,km,type,cc,mode
Toyota,Prado,Peshawar,1.05,2006,"70,000",Petrol,4000,Automatic
Toyota,Corolla,Lahore,27.25,2015,"60,000",Petrol,1600,Automatic
Toyota,Prado,Peshawar,1.05,2006,"73,800",Petrol,4000,Automatic
Toyota,Corolla,Islamabad,9.5,1997,15,Petrol,1300,Manual
Toyota,Duet,Gujranwala,6.8,1999,13,Petrol,1300,Automatic
Toyota,Land,Lahore,49.9,1998,"170,000",Diesel,4200,Automatic
Toyota,Corolla,Lahore,16.95,2010,"75,000",Petrol,1300,Manual
Toyota,Corolla,Islamabad,11.75,1998,"200,000",Petrol,1300,Manual
Toyota,Mark,Karachi,17.5,2004,"135,000",Petrol,2000,Automatic
Toyota,Surf,Lahore,52,2003,"185,000",Petrol,2700,Automatic
Toyota,Corolla,Islamabad,40.25,2019,"20,100",Petrol,1800,Automatic
Toyota,Land,Lahore,1.85,2009,"120,000",Petrol,4600,Automatic
Toyota,Yaris,Lahore,30.3,2021,"5,932",Petrol,1500,Automatic
Toyota,Corolla,Karachi,29.8,2018,"29,800",Petrol,1300,Automatic
Toyota,Corolla,Lahore,34.95,2018,"30,500",Petrol,1800,Automatic
Toyota,Prius,Peshawar,47,2017,"30,000",Petrol,1800,Automatic
Toyota,Corolla,Islamabad,33.85,2018,"35,000",Hybrid,1500,Automatic
Toyota,Prado,Lahore,33,1997,"100,000",Diesel,2700,Automatic
Toyota,Hilux,Islamabad,72.5,2019,"16,000",Diesel,2800,Automatic
Toyota,Vitz,Karachi,15.5,2006,"90,000",Petrol,1000,Automatic
Toyota,Vitz,Lahore,26.85,2018,"53,605",Petrol,1000,Automatic
Toyota,Passo,Peshawar,18.9,2014,"75,000",Petrol,1000,Automatic
Toyota,Vitz,Lahore,26.25,2021,"260,000",Petrol,1000,Automatic
Toyota,Corolla,Bahawalpur,36.8,2021,1,Petrol,1600,Automatic
Toyota,Corolla,Lahore,,2019,"39,000",Petrol,1300,Automatic
Toyota,Corolla,D.G.Khan,31.95,2020,"21,000",Petrol,1300,Manual
Toyota,Corolla,Gujranwala,20.5,2014,"47,855",Petrol,1300,Manual
Toyota,Corolla,Jalalpur Pirwala,16.5,2011,"168,000",Petrol,1300,Manual
Toyota,Hilux,Attock,62.5,2017,"71,000",Diesel,3000,Automatic
Toyota,Corolla,Karachi,36,2018,"42,000",Petrol,1800,Automatic
Toyota,Corolla,Islamabad,31.9,2016,"82,000",Petrol,1800,Automatic
Toyota,Corolla,Islamabad,19.5,2011,"168,000",Petrol,1300,Manual
Toyota,Land,Karachi,2.6,2016,"55,000",Petrol,4608,Automatic
Toyota,Vitz,Peshawar,14.8,2005,"190,000",Petrol,1300,Automatic
Toyota,Corolla,Rawalpindi,20.9,2011,"150,000",Petrol,1300,Manual
Toyota,Vitz,Karachi,22.25,2015,"62,000",Petrol,1000,Automatic
Toyota,Fortuner,Mandi bahauddin,95,2018,"42,000",Petrol,2700,Automatic
Toyota,Vitz,Karachi,16.75,2013,"84,000",Petrol,1000,Automatic
Toyota,Prado,Islamabad,15.7,1992,"200,000",Diesel,2800,Manual
Toyota,Vitz,Lahore,15.25,2010,"115,000",Petrol,1000,Automatic
Toyota,Corolla,Karachi,2.5,1978,"10,000",Petrol,1300,Manual
Toyota,Vitz,Lahore,18.1,2013,"51,000",Petrol,1000,Automatic
Toyota,Corolla,Attock,17.5,2008,"137,000",Petrol,1300,Manual
Toyota,Vitz,Karachi,17.9,2013,"83,000",Petrol,1000,Automatic
Toyota,Corolla,Karachi,37.25,2018,"27,000",Petrol,1800,Automatic
Toyota,Fortuner,Karachi,1,2021,37,Petrol,2700,Automatic
Toyota,Corolla,Islamabad,30.75,2020,"10,000",Petrol,1300,Manual
Toyota,Passo,Lahore,23.95,2018,"78,470",Petrol,1000,Automatic
Toyota,Corolla,Lahore,22,2013,"119,000",Petrol,1300,Manual
Toyota,Fortuner,Multan,87.5,2019,"18,400",Petrol,2700,Automatic
Toyota,Corolla,Lahore,26.75,2017,"90,000",Petrol,1300,Automatic
Toyota,Passo,Lahore,24.95,2018,"34,793",Petrol,1000,Automatic
Toyota,C,Karachi,54.5,2017,"25,000",Hybrid,1500,Automatic
Toyota,Crown,Islamabad,,2011,"58,596",Petrol,2500,Automatic
Toyota,Corolla,Bahawalpur,36.9,2021,1,Petrol,1600,Automatic
Toyota,Corolla,Karachi,28.5,2017,"60,000",Petrol,1600,Automatic
Toyota,Corolla,Islamabad,31.4,2019,"25,500",Petrol,1300,Automatic
Toyota,Corolla,Karachi,,2017,"8,000",Petrol,1500,Automatic
Toyota,Corolla,Karachi,29.5,2017,"48,000",Petrol,1600,Automatic
Toyota,C,Lahore,51,2017,"40,000",Petrol,1800,Automatic
Toyota,Fortuner,Karachi,1.1,2021,"5,000",Diesel,2800,Automatic
Toyota,Corolla,Gujranwala,23.95,2016,"39,000",Petrol,1300,Manual
Toyota,Corolla,Karachi,24,2015,"58,000",Petrol,1300,Manual
Toyota,Corolla,Lahore,21.5,2013,12,Petrol,1600,Automatic
Toyota,Corolla,Karachi,23,2013,"61,000",Petrol,1600,Automatic
Toyota,Corolla,Gujranwala,28.75,2016,"76,000",Petrol,1600,Automatic
Toyota,Passo,Karachi,19,2015,"56,000",Petrol,1000,Automatic
Toyota,Fortuner,Karachi,90.5,2019,"10,000",Petrol,2700,Automatic
Toyota,Corolla,Karachi,23.75,2015,"46,000",Petrol,1300,Manual
Toyota,Prado,Multan,2.19,2017,"44,900",Petrol,2700,Automatic
